Designator,Mid X,Mid Y,Rotation,Layer
A1,164.37,-132.61,0.0,top
C1,149.9625,-117.0,0.0,top
C10,166.0,-84.0,0.0,top
C11,94.0,-111.0,180.0,top
C2,150.0,-120.5,0.0,top
C3,139.5,-122.0,0.0,top
C4,139.5375,-134.5,180.0,top
C5,88.5,-122.5,270.0,top
C6,154.5,-35.5,180.0,top
C7,172.0,-98.5,270.0,top
C8,173.9625,-107.0,90.0,top
C9,112.0,-146.0,270.0,top
D1,148.0,-170.0,180.0,top
D10,173.0,-63.0,90.0,top
D11,122.5,-117.5,180.0,top
D12,93.72,-128.0125,90.0,top
D13,150.5125,-82.5,0.0,top
D14,75.5,-122.5,180.0,top
D15,73.5,-128.0,0.0,top
D16,71.0,-115.0,90.0,top
D2,158.5,-169.9,180.0,top
D3,169.5,-169.9,0.0,top
D4,180.05,-170.4,0.0,top
D5,155.05,-181.0,0.0,top
D6,165.0,-181.0,0.0,top
D7,177.55,-180.9,0.0,top
D8,164.5,-189.9,0.0,top
D9,167.0,-38.4,90.0,top
J1,195.45,-117.45,180.0,top
J2,157.5,-64.0,180.0,top
Q1,84.4375,-115.05,180.0,top
R1,182.5,-136.0,90.0,top
R10,87.5,-109.0,0.0,top
R11,88.5,-133.5,270.0,top
R12,125.5,-140.0,0.0,top
R13,136.5,-108.5,0.0,top
R14,109.5,-108.5,0.0,top
R2,161.5,-72.5,0.0,top
R3,156.0,-72.5,0.0,top
R4,101.0,-112.0,180.0,top
R5,167.5,-57.5,0.0,top
R6,115.5,-154.5,270.0,top
R7,71.0,-133.0,90.0,top
R8,90.5,-112.5,270.0,top
R9,80.0,-108.5,180.0,top
SW1,104.5,-159.5,0.0,top
U1,164.5,-129.0,270.0,top
U2,119.5,-148.1,0.0,top
U3,166.0,-92.0,0.0,top
U5,77.45,-134.6375,270.0,top
U6,92.6375,-120.05,270.0,top
U7,113.0,-135.0,0.0,top
Y1,139.35,-127.95,90.0,top
