Designator,Footprint,Quantity,Value,LCSC Part #
A1,Arduino_Nano_WithMountingHoles,1,Arduino_Nano_v3.x,
"C1, C10, C2, C6, C7",0805,5,100 nF,
"C11, C5, C8",0805,3,1 uF,
"C3, C4",0805,2,12pF,
C9,0805,1,0.1 uF,
"D1, D2, D3, D4, D5, D6, D7, D8",LED_WS2812_PLCC6_5.0x5.0mm_P1.6mm,8,NeoPixel_THT,
D10,D_SMC_Handsoldering,1,YELLOW,
D11,D_SMC_Handsoldering,1,GREEN,
"D12, D13",1206,2,LED,
D14,1206,1,RED,
D15,1206,1,GREEN,
D16,D_SMA,1,C8678,
D9,D_SMC_Handsoldering,1,C8678,
J1,PinHeader_2x03_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,
J2,USB_C_Receptacle_Amphenol_12401548E4-2A,1,USB_C_Receptacle_USB2.0_16P,
Q1,SOT-23,1,AO3401A,
R1,0805,1,100k,
"R10, R6",0805,2,10k,
"R11, R12",0805,2,4.7k,
"R13, R14, R9",0805,3,1k,
"R2, R3",0805,2,5k1,
"R4, R5",0805,2,330R,
R7,0805,1,1k5,
R8,0805,1,4k7,
SW1,SW_Push_1P1T_XKB_TS-1187A,1,SW_SPST,
U1,TQFP-32_7x7mm_P0.8mm,1,ATmega328P-A,
U2,LGA-14_3x5mm_P0.8mm_LayoutBorder1x6y,1,ADXL343,
U3,SOP-8_3.9x4.9mm_P1.27mm,1,CH340N,
U5,TSOT-23-5,1,TP4057,
U6,SOT-23-3,1,XC6206PxxxMR,
U7,LGA-8_3x5mm_P1.25mm,1,MS5607-02BA,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,1,Crystal_GND24,
